Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
# The file file_input_raw was rewound 53 times
      rgb_lagged_sum|  12|   1000000|     100|0.94398052|  PASSED
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|  13|   1000000|     100|0.88509524|  PASSED
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|  14|   1000000|     100|0.44017008|  PASSED
# The file file_input_raw was rewound 69 times
      rgb_lagged_sum|  15|   1000000|     100|0.03811854|  PASSED
# The file file_input_raw was rewound 76 times
      rgb_lagged_sum|  16|   1000000|     100|0.92345751|  PASSED
# The file file_input_raw was rewound 82 times
      rgb_lagged_sum|  17|   1000000|     100|0.95612674|  PASSED
# The file file_input_raw was rewound 89 times
      rgb_lagged_sum|  18|   1000000|     100|0.92774092|  PASSED
# The file file_input_raw was rewound 97 times
      rgb_lagged_sum|  19|   1000000|     100|0.98269341|  PASSED
# The file file_input_raw was rewound 105 times
      rgb_lagged_sum|  20|   1000000|     100|0.52773078|  PASSED
# The file file_input_raw was rewound 113 times
      rgb_lagged_sum|  21|   1000000|     100|0.98551848|  PASSED
# The file file_input_raw was rewound 121 times
      rgb_lagged_sum|  22|   1000000|     100|0.48945745|  PASSED
# The file file_input_raw was rewound 130 times
      rgb_lagged_sum|  23|   1000000|     100|0.14606994|  PASSED
# The file file_input_raw was rewound 140 times
      rgb_lagged_sum|  24|   1000000|     100|0.69918318|  PASSED
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  25|   1000000|     100|0.91782728|  PASSED
# The file file_input_raw was rewound 159 times
      rgb_lagged_sum|  26|   1000000|     100|0.72920535|  PASSED
# The file file_input_raw was rewound 170 times
      rgb_lagged_sum|  27|   1000000|     100|0.97293358|  PASSED
# The file file_input_raw was rewound 181 times
      rgb_lagged_sum|  28|   1000000|     100|0.48179641|  PASSED
# The file file_input_raw was rewound 192 times
      rgb_lagged_sum|  29|   1000000|     100|0.60881965|  PASSED
# The file file_input_raw was rewound 203 times
      rgb_lagged_sum|  30|   1000000|     100|0.46625010|  PASSED
# The file file_input_raw was rewound 215 times
      rgb_lagged_sum|  31|   1000000|     100|0.00552364|  PASSED
# The file file_input_raw was rewound 228 times
      rgb_lagged_sum|  32|   1000000|     100|0.42415404|  PASSED
# The file file_input_raw was rewound 228 times
     rgb_kstest_test|   0|     10000|    1000|0.00074891|   WEAK
# The file file_input_raw was rewound 228 times
     dab_bytedistrib|   0|  51200000|       1|0.06091659|  PASSED
# The file file_input_raw was rewound 228 times
             dab_dct| 256|     50000|       1|0.53424447|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 229 times
        dab_filltree|  32|  15000000|       1|0.42652864|  PASSED
        dab_filltree|  32|  15000000|       1|0.79158543|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 229 times
       dab_filltree2|   0|   5000000|       1|0.55259834|  PASSED
       dab_filltree2|   1|   5000000|       1|0.57447042|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 229 times
